web-scraper-order,Product Name,ASIN-href,price,Product Description,Description,ASIN,Manufacturer
1692629812-1,"Half Moon Curiosity 35L Water Resistant 15.6"" Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Slim Durable Backpack",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjY2Nzg5MzA5Nzg4MTMxOjE2OTI2Mjk3OTE6c3BfYnRmOjIwMTQ1OTk1NzYyMTk4OjowOjo&url=%2FHalf-Moon-Curiosity-Backpack-Resistant%2Fdp%2FB09S3ZK3N1%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629791%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,849,,Care Instructions: Hand Wash Only,B09S3ZK3N1,Half_Moon(AmazingBags)
1692629833-2,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjY2Nzg5MzA5Nzg4MTMxOjE2OTI2Mjk3OTE6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629791%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,800",,Care Instructions: Wipe with Damp Cloth,B0BWNBQXDZ,AcefourAccessoriesPvt.Ltd
1692629837-3,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-20,499,,Care Instructions: Wipe with Damp Cloth,B09TPX22NF,ADISA
1692629841-4,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-19,649,,Care Instructions: Hand Wash Only,B085MHDJ93,AmazingBags
1692629846-5,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-18,398,,Made of multi-coated 600D polyester Material ; Water Repellent,,
1692629850-6,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-17,"1,399","A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",Care Instructions: Hand Wash Only,B0BTD4FK9G,EXPERTS
1692629854-7,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-16,"2,099",,Care Instructions: Hand Wash Only,B07BZ5VC4H,SafariIndustries(India)Ltd
1692629858-8,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-15,979,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Care Instructions: Hand Wash Only,B07G4F6XFH,GearMerchandisePVTLTD
1692629863-9,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-14,387,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.","Premium Durable Material - Travel duffel bag is made of high quality,durable material.",B07XXFB9CZ,Sfane
1692629867-10,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-13,199,,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.",B019HA8AYG,GearMerchandisePVTLTD
1692629888-11,American Tourister RON Laptop Backpack 01 BLACK,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjY2Nzg5MzA5Nzg4MTMxOjE2OTI2Mjk3OTE6c3BfbXRmOjMwMDAyMTY0MjI1MDUzMjo6MDo6&url=%2FAmerican-Tourister-Laptop-Backpack-BLACK%2Fdp%2FB0C65ZF9SP%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629791%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"1,999","The Ron laptop Backpack by American Tourister is a highly functional and durable backpack with a range of features. It includes a Tractum Suspension Strap system that provides excellent support and comfort for carrying heavy loads. The backpack also comes with a laptop compartment, a rain cover for protection during wet weather, and an internal organizer to keep belongings neatly arranged.",Care Instructions: Machine Wash,B0C65ZF9SP,BalajiIndustries
1692629909-12,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjY2Nzg5MzA5Nzg4MTMxOjE2OTI2Mjk3OTE6c3BfbXRmOjMwMDAxMjMzOTQzMjgzMjo6MDo6&url=%2FHOEXL-Expandable-Laptop-Backpack-Water-resistant%2Fdp%2FB0C3J2RLHP%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629791%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"2,699",,Care Instructions: Hand Wash Only,B0C3J2RLHP,HOEXL
1692629913-13,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-10,849,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.","This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.",B09VCLZ3K4,AmazingBags
1692629917-14,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-9,899,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,"MATERIAL - We use of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.",B07M9BRCQ5,FurJaden
1692629921-15,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-8,"1,399",Backpack,Care Instructions: Hand Wash Only,B09CQ5T3LN,
1692629925-16,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-7,849,,Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle<br>,B07YDGQQN5,FurJaden
1692629929-17,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-6,599,,Care Instructions: Hand Wash Only,B09QJ7ZF2Y,
1692629933-18,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-5,679,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",Care Instructions: Wipe with Damp Cloth,B09VTDMRY7,FURJADEN
1692629937-19,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-4,"1,199",,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No",,
1692629941-20,Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1692629791&sprefix=ba%2Caps%2C283&sr=8-3,649,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",Care Instructions: Hand Wash Only,B08Z1HHHTD,VIPIndustriesLtd
1692629962-21,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjY2Nzg5MzA5Nzg4MTMxOjE2OTI2Mjk3OTE6c3BfYXRmOjIwMDYzNzg0NDU4Mzk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629791%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,600",,Care Instructions: Hand Wash Only,B0B69M182Q,AcefourAccessoriesPvt.Ltd
1692629983-22,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjY2Nzg5MzA5Nzg4MTMxOjE2OTI2Mjk3OTE6c3BfYXRmOjIwMDY1NTMzNjg0Njk4OjowOjo&url=%2FUppercase-Medium-Size-Backpack-_Blue%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629791%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,700",,Care Instructions: Wipe with Damp Cloth,B0B81YTTWS,AcefourAccessoriesPvt.Ltd
1692630008-23,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzc3MzY3NjQzMjQ5Nzk1OjE2OTI2Mjk5ODc6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629987%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,800",,Care Instructions: Wipe with Damp Cloth,B0BWNBQXDZ,AcefourAccessoriesPvt.Ltd
1692630029-24,FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzc3MzY3NjQzMjQ5Nzk1OjE2OTI2Mjk5ODc6c3BfYnRmOjIwMTUzOTYyNDIxNDk4OjowOjo&url=%2FFUR-JADEN-Anti-Theft-Backpack-Professionals%2Fdp%2FB0C28QQMFJ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629987%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"3,499","Stay organized all day with Fur Jaden's durable and lightweight pro series backpack. This smart tech laptop backpack is a stylish and functional accessory for men and women. It adds admiration to an appealing and daring personality with remarkable aesthetics and functionality. It comes with a utility pocket in the main compartment which helps keep smaller accessories and belongings in place. Fur Jaden's Pro Series functional backpacks are apt for professionals looking to stay connected to their devices all day long as it features a smart in-built USB Type-A and USB Type-C charging port station which also supports reversible charging. This smart backpack also features an anti-theft pocket on the back to protect your gadgets and belongings from being stolen while you travel, now keep your belongings safe with style. The backpack features a 180 Degree openable padded gadget compartment that you may use to store your laptop and tablets safely. Weighing about 900 grams, this backpack is lightweight and easy to carry all day long. This tech backpack from Fur Jaden is able to house laptops of up to 15.6 inches and has several pockets to place mobile phones, pens, power banks, etc. Made from premium & durable quality PU, Fur Jaden Pro Series backpacks are sturdy and reliable. Flaunt this uniquely designed handcrafted Fur Jaden bag with style as it helps elevate your style quotient. This backpack is suitable for working professionals and uber cool college students . The straps are designed to distribute weight equally on each shoulder preventing any sort of discomfort. This stylish laptop backpack comes with a convenient grab handle which not only adds convenience but also helps grab a lot of attention.",Care Instructions: Wipe with Damp Cloth,B0C28QQMFJ,FurJaden
1692630033-25,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-20,499,,Care Instructions: Wipe with Damp Cloth,B09TPX22NF,ADISA
1692630037-26,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-19,649,,Care Instructions: Hand Wash Only,B085MHDJ93,AmazingBags
1692630042-27,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-18,398,,Made of multi-coated 600D polyester Material ; Water Repellent,,
1692630046-28,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-17,"1,399","A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",Care Instructions: Hand Wash Only,B0BTD4FK9G,EXPERTS
1692630052-29,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-16,"2,099",,Care Instructions: Hand Wash Only,B07BZ5VC4H,SafariIndustries(India)Ltd
1692630056-30,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-15,979,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Care Instructions: Hand Wash Only,B07G4F6XFH,GearMerchandisePVTLTD
1692630060-31,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-14,387,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.","Premium Durable Material - Travel duffel bag is made of high quality,durable material.",B07XXFB9CZ,Sfane
1692630064-32,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-13,199,,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.",B019HA8AYG,GearMerchandisePVTLTD
1692630085-33,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzc3MzY3NjQzMjQ5Nzk1OjE2OTI2Mjk5ODc6c3BfbXRmOjIwMTI3NjgzODcyMzk4OjowOjo&url=%2FUPPERCASE-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629987%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"2,400",,Care Instructions: Wipe with Damp Cloth,B0BXFDK5J2,AcefourAccessoriesPvt.Ltd
1692630106-34,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzc3MzY3NjQzMjQ5Nzk1OjE2OTI2Mjk5ODc6c3BfbXRmOjMwMDAxMjMzOTQzMjgzMjo6MDo6&url=%2FHOEXL-Expandable-Laptop-Backpack-Water-resistant%2Fdp%2FB0C3J2RLHP%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692629987%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"2,699",,Care Instructions: Hand Wash Only,B0C3J2RLHP,HOEXL
1692630110-35,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-10,849,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.","This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.",B09VCLZ3K4,AmazingBags
1692630114-36,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-9,899,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,"MATERIAL - We use of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.",B07M9BRCQ5,FurJaden
1692630118-37,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-8,"1,399",Backpack,Care Instructions: Hand Wash Only,B09CQ5T3LN,
1692630122-38,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-7,849,,Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle<br>,B07YDGQQN5,FurJaden
1692630126-39,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-6,599,,Care Instructions: Hand Wash Only,B09QJ7ZF2Y,
1692630130-40,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-5,679,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",Care Instructions: Wipe with Damp Cloth,B09VTDMRY7,FURJADEN
1692630134-41,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1692629987&sprefix=ba%2Caps%2C283&sr=8-4,"1,199",,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No",,
